79.4958,-16.7098,80.4748,-16.9135
81.4536,-17.1186,82.432,-17.3252
67.7262,-14.3686,68.7084,-14.5568
80.4748,-16.9135,81.4536,-17.1186
82.432,-17.3252,83.4102,-17.5331
66.7437,-14.1816,67.7262,-14.3686
65.761,-13.9958,66.7437,-14.1816
83.4102,-17.5331,84.3881,-17.7426
84.3881,-17.7426,85.3656,-17.9535
64.7781,-13.8111,65.761,-13.9958
85.3656,-17.9535,86.3429,-18.1659
86.3429,-18.1659,87.3198,-18.3798
99.0214,-21.0535,99.9934,-21.2915
98.0489,-20.8177,99.0214,-21.0535
63.795,-13.6276,64.7781,-13.8111
97.076,-20.584,98.0489,-20.8177
99.9934,-21.2915,100.965,-21.5316
96.1026,-20.3525,97.076,-20.584
87.3198,-18.3798,88.2965,-18.5952
95.1289,-20.1231,96.1026,-20.3525
88.2965,-18.5952,89.2728,-18.8122
89.2728,-18.8122,90.2488,-19.0307
94.1546,-19.8959,95.1289,-20.1231
62.8116,-13.4451,63.795,-13.6276
93.18,-19.6709,94.1546,-19.8959
92.2049,-19.4479,93.18,-19.6709
91.2293,-19.2272,92.2049,-19.4479
61.8279,-13.2638,62.8116,-13.4451
90.2488,-19.0307,91.2293,-19.2272
138.625,-24.1805,137.666,-23.8827
132.865,-22.4,131.905,-22.1049
134.786,-22.9917,133.826,-22.6956
131.905,-22.1049,130.945,-21.8104
141.504,-25.0756,140.545,-24.777
135.746,-23.2883,134.786,-22.9917
136.706,-23.5853,135.746,-23.2883
137.666,-23.8827,136.706,-23.5853
143.423,-25.6737,142.464,-25.3745
139.585,-24.4786,138.625,-24.1805
140.545,-24.777,139.585,-24.4786
133.826,-22.6956,132.865,-22.4
145.342,-26.2724,144.383,-25.973
130.945,-21.8104,129.984,-21.5165
142.464,-25.3745,141.504,-25.0756
147.261,-26.8716,146.302,-26.5719
144.383,-25.973,143.423,-25.6737
148.22,-27.1712,147.261,-26.8716
146.302,-26.5719,145.342,-26.2724
169.748,-44.5378,170.684,-44.9503
150.139,-27.7706,149.18,-27.4709
149.18,-27.4709,148.22,-27.1712
129.984,-21.5165,129.019,-21.2431
152.058,-28.3697,151.099,-28.0702
170.684,-44.9503,171.62,-45.3646
151.099,-28.0702,150.139,-27.7706
153.017,-28.6692,152.058,-28.3697
171.62,-45.3646,172.556,-45.7806
153.977,-28.9684,153.017,-28.6692
154.936,-29.2675,153.977,-28.9684
172.556,-45.7806,173.491,-46.1983
155.896,-29.5664,154.936,-29.2675
156.856,-29.865,155.896,-29.5664
173.491,-46.1983,174.426,-46.6177
157.815,-30.1634,156.856,-29.865
129.019,-21.2431,128.059,-20.9478
128.059,-20.9478,127.099,-20.6531
158.775,-30.4614,157.815,-30.1634
159.735,-30.7591,158.775,-30.4614
174.426,-46.6177,175.361,-47.0385
160.695,-31.0565,159.735,-30.7591
161.655,-31.3534,160.695,-31.0565
162.615,-31.6499,161.655,-31.3534
175.361,-47.0385,176.295,-47.4609
163.575,-31.9459,162.615,-31.6499
164.535,-32.2415,163.575,-31.9459
165.495,-32.5365,164.535,-32.2415
166.456,-32.8309,165.495,-32.5365
176.295,-47.4609,177.229,-47.8846
167.416,-33.1247,166.456,-32.8309
168.377,-33.4179,167.416,-33.1247
169.338,-33.7105,168.377,-33.4179
170.299,-34.0023,169.338,-33.7105
171.26,-34.2934,170.299,-34.0023
172.221,-34.5838,171.26,-34.2934
173.183,-34.8734,172.221,-34.5838
174.144,-35.1621,173.183,-34.8734
175.106,-35.45,174.144,-35.1621
176.068,-35.737,175.106,-35.45
177.03,-36.0231,176.068,-35.737
177.993,-36.3083,177.03,-36.0231
178.955,-36.5924,177.993,-36.3083
179.918,-36.8755,178.955,-36.5924
180.881,-37.1576,179.918,-36.8755
181.844,-37.4387,180.881,-37.1576
197.283,-41.8003,196.322,-41.5101
182.808,-37.7186,181.844,-37.4387
183.771,-37.9973,182.808,-37.7186
184.735,-38.2749,183.771,-37.9973
192.468,-40.3914,191.503,-40.12
185.699,-38.5513,184.735,-38.2749
191.503,-40.12,190.524,-39.9139
193.433,-40.6656,192.468,-40.3914
186.664,-38.8264,185.699,-38.5513
187.629,-39.1003,186.664,-38.8264
194.396,-40.9432,193.433,-40.6656
188.594,-39.3728,187.629,-39.1003
189.559,-39.644,188.594,-39.3728
196.322,-41.5101,195.36,-41.2245
190.524,-39.9139,189.559,-39.644
195.36,-41.2245,194.396,-40.9432
177.229,-47.8846,178.163,-48.3096
200.223,-46.1354,197.283,-41.8003
178.163,-48.3096,185.685,-42.3606
153.131,-9.53725,147.699,-1.01041
127.099,-20.6531,129.877,-8.45299
61.9863,-13.0085,61.8279,-13.2638
